item,count,date
Total,"1,970",12.06
Unit Prepared,"1,507",12.06
Grill,475,12.06
Quesadilla Deluxe Trillium,114,12.06
Grilled Hamburger,76,12.06
Burrito Una Mano Trillium BYO,50,12.06
Fried Chicken Tenders,63,12.06
French Fries,113,12.06
Quesadilla Cheese,12,12.06
Trillium Grill Impossible Burger,8,12.06
Grilled Chicken Breast Sandwich,8,12.06
Seared Salmon Burger,6,12.06
Black Bean Burger,5,12.06
Sweet Potato Fries,7,12.06
Add Sausage 2 Patty,4,12.06
ADD Beef Patty $2.99,2,12.06
ADD Cheese,5,12.06
Add Egg $.99,2,12.06
Asian,311,12.06
1 Entree + 1 Side,137,12.06
1 Entree + 2 Side,61,12.06
Bowl Ramen Chicken,58,12.06
2 Entrees + 2 Sides,23,12.06
Bowl Ramen Tofu,18,12.06
1 Wok Entree,5,12.06
Side Vegetarian Lo Mein,5,12.06
Side Vegetables,1,12.06
Side Vegetable Spring Rolls,1,12.06
Side Vegetarian Fried Rice with,1,12.06
Side White or Brown Rice,1,12.06
Breakfast,241,12.06
Burrito Breakfast,72,12.06
Small French Omelet,49,12.06
Grand Slam Breakfast,15,12.06
Egg Cheese Sausage Breakfast San,26,12.06
Egg Cheese Bacon Breakfast Sandw,20,12.06
Add Bacon,27,12.06
Two Eggs,18,12.06
Pancake Single,4,12.06
Trillium Home Fries,3,12.06
2 Slices Toast,5,12.06
Toast,1,12.06
PC Peanut Butter,1,12.06
Italian,168,12.06
Create Your Pasta Bowl MEAT,83,12.06
Pizza with Toppings,28,12.06
Create Your Pasta Bowl VEG,12,12.06
Pizza Cheese,19,12.06
Add Extra Meat,26,12.06
Mexican,72,12.06
Burrito Bowl BYO,66,12.06
Single Taco,6,12.06
Soup,64,12.06
Soup 12 oz,34,12.06
8 oz Soup,30,12.06
Salad Bar,34,12.06
Salad by the Pound,34,12.06
Beverages,117,12.06
Soda Fountain 24 oz,35,12.06
Coffee 16 oz SB,23,12.06
Soda Fountain 16 oz,30,12.06
Coffee 12 oz SB,16,12.06
Hot Tea 20 oz,10,12.06
Hot Cocoa,3,12.06
Grab N Go,21,12.06
Side Potato Tots,21,12.06
Open Misc,4,12.06
Open Miscellaneous,4,12.06
Convenience,403,12.06
Beverages,273,12.06
Water Aquafina 20 oz,14,12.06
Soda Pepsi Diet 20 Oz,12,12.06
Tea Golden Oolong Unsweet Ito En,7,12.06
Juice Ocean Spray Cranbe Grape 1,11,12.06
Soda Pepsi 20 Oz,7,12.06
Soda Pepsi Wild Cherry 20 Oz,7,12.06
Water Life WTR Immune 700 ML,5,12.06
Tea Green Matcha Milk Ito En 11.,4,12.06
Tea Jasmine Green Unsweet Ito En,4,12.06
Soda Orange Crush 20 Oz,6,12.06
Juice Orange Premium Topicana 11,5,12.06
Gatorade Propel Grape Water 1 lt,5,12.06
Frappuccino Vanilla SB 13.7 Oz,3,12.06
Juice Naked Green Machine,3,12.06
Juice Naked Mighty Mango,3,12.06
Water Aquafina 1L,5,12.06
Soda Ginger Ale Schweppes 20 Oz,5,12.06
Soda Rootbeer Mug 20 oz,5,12.06
Tea Iced Rasberry Lipton 16 oz,5,12.06
Tea Peach Pure Leaf Lipton 18.5,5,12.06
Tea Unsweetened Pure Leaf Lipton,5,12.06
Yerba Mate Enlighten Mint 15.5 o,3,12.06
Yerba Mate Tropical 15.5 oz,3,12.06
Tea Black Milk Ito En 11.8 oz,3,12.06
Cold Brew Vanilla Sweet Cream St,3,12.06
Juice Joes Lemonade  Red Jacket1,3,12.06
Energy Blue Raz Lemonade Celsius,3,12.06
Energy Kiwi Guava Celsius 12 oz,3,12.06
Energy Mango PassFruit Celsius 1,3,12.06
Muscle Milk PROSRS 40 Intense Va,2,12.06
Water Aquafina Alumitek 16 oz,5,12.06
Soda Rootbeer Zero Sugar Mug 20,4,12.06
Tea Tea & Lemon Pure Leaf Lipton,4,12.06
Cider Apple Red Jacket 12 oz,3,12.06
Juice Naked Berry Blast,2,12.06
Juice Naked Blue Machine,2,12.06
Juice Naked PNCLDA 15.2 Oz,2,12.06
Naked Strawberry Banana Juice,2,12.06
Kombucha Ginger Kevita 15.2 oz,2,12.06
Kombucha Pineapple Peach Kevita,2,12.06
Gatorade Blue 28 oz,3,12.06
Juice Orange Homestyle Tropicana,3,12.06
Gatorade Propel Berry Water 1 lt,3,12.06
Gatorade Gatorlyte Strawberry Ki,2,12.06
Yerba Mate Bluephoria 15.5 oz,2,12.06
Yerba Mate Lemon 15.5 oz,2,12.06
Yerba Mate Peach Revival 15.5 oz,2,12.06
Yerba Mate Revel Berry 15.5 oz,2,12.06
Cold Brew Chocolate Cream Starbu,2,12.06
Juice Fuji Apple Red Jacket 12oz,2,12.06
Soda Pepsi  Zero 20oz,3,12.06
Tea Blackberry Pure Leaf 18.5 oz,3,12.06
Tea Sweetened With Lemon Brisk 2,3,12.06
Energy Artic Vibe Celsius 12oz,2,12.06
Energy Fast Twitch Cool Blue 12,2,12.06
Energy Fast Twitch Grape 12 oz,2,12.06
Tea Green Peach Mango Celsius 12,2,12.06
Tea Green Rasp Acai  Celsius 12,2,12.06
Gatorade Berry Zero G 28 oz,2,12.06
Gatorade Orange 28oz,2,12.06
Glacier Freeze Gatorade 28 oz,2,12.06
Juice Raspberry Lemonade Tropica,2,12.06
Soda Tamarind Jarritos 12.5 oz,2,12.06
Muscle Milk Choc PB 14oz,1,12.06
Lipton Pure Leaf Sweet Tea,2,12.06
Soda Mountain Dew Zero 20 Oz,2,12.06
Tea Sweet W/ Le Pure Leaf Lipton,2,12.06
Juice Apple Dole 15.2 oz,2,12.06
Juice Orange Dole 15.2 oz,2,12.06
Juice Protein Zone Naked,1,12.06
Naked Red Machine Juice,1,12.06
Soda Mandarin Jarritos 12.5 oz,2,12.06
Kombucha Rasp Lemon Kevita 15.2,1,12.06
Gatorade Gatorlyte Cherry Lime 2,1,12.06
Gatorade Gatorlyte MixBerry 20 o,1,12.06
Gatorade Gatorlyte Zero Fruit Pu,1,12.06
Energy 222 Pineapple Mango Odyss,1,12.06
Energy Blue Crush Celsius 16 oz,1,12.06
Energy Mango Tango Celsius 16 oz,1,12.06
Energy Passion Orange Guva Odyss,1,12.06
Energy StrawLemon Celsius 12oz,1,12.06
Mountain Dew Kickstart Black Che,1,12.06
Gatorade Fruit Punch 28 oz,1,12.06
Gatorade Galcier Freeze Zero G 2,1,12.06
Gatorade Lemon Lime 28 oz,1,12.06
Gatorade Zero Grape 28 oz,1,12.06
Glacier Cherry Gatorade 28 oz,1,12.06
Juice Zero Summer Splash Punch 1,1,12.06
Kickstart Strawberry Start-up 16,1,12.06
Gatorade Propel  Kiwi Straw Wate,1,12.06
Water Gatorade 700ml,1,12.06
Soda Mango Jarritos 12.5 oz,1,12.06
Soda Mountain Dew 20 Oz,1,12.06
Tea Light Peach Lipton 20 oz,1,12.06
Tea Pure Leaf Zero Sugar Sweet T,1,12.06
Tea Unsweet Black W Lemon 18.5 o,1,12.06
Tea Unsweet Green Lipton 18.5 oz,1,12.06
Juice Lemonade Dole 20oz,1,12.06
Dairy,43,12.06
Cornell Low Fat Chocolate Milk,8,12.06
Yogurt Mixed Berry Chobani Drink,4,12.06
Yogurt Straw Banana Chobani Drin,3,12.06
Milk Chocolate LF Cornell 8 Oz,6,12.06
Yogurt Flip Peanut Butter Dream,3,12.06
Yogurt Peach Greek Chobani,3,12.06
Yogurt Plain Greek Chobani,3,12.06
Yogurt Flip Almond Coco Loco Cho,2,12.06
Cornell 2% Milk (70000381),3,12.06
Yogurt Mango Chobani Drink 7 oz,1,12.06
Cornell Whole Milk,2,12.06
Cornell 2% Milk (70000380),1,12.06
Yogurt Blueberry Greek Chobani,1,12.06
Yogurt Raspberry Greek Chobani,1,12.06
Yogurt Strawberry Banana Greek C,1,12.06
Yogurt Strawberry Greek Chobani,1,12.06
NutritionalSnack,17,12.06
Jelly Konjac Mango Pineapple Tas,4,12.06
Jelly Konjac Apple Grape Tastell,2,12.06
Jelly Konjac Double Berry Tastel,2,12.06
Bar Chocolate Chip Clifbar,2,12.06
Bar Choc Chip Cookie Dough Quest,1,12.06
Cookie Birthday Cake Lenny & Lar,1,12.06
Dark Choc Cherry Cashew Plus Kin,1,12.06
Bar Blueberry Crisp Clif 2.4oz,1,12.06
Bar That's It Apple+Blueberry 1.,1,12.06
Bar That's It Apple+Mango 1.2 oz,1,12.06
Oat And Honey Granola Bar,1,12.06
Food,46,12.06
Fruit Whole,46,12.06
Salty Snacks,12,12.06
Chips Dirty Sea Salted,4,12.06
Chip Potato Dirty BBQ Mesquite 2,2,12.06
Chip Maui Onion Dirty 2 oz,1,12.06
Chips Cracked Pepper & Sea Salt,1,12.06
Jalapeno Heat Chips Kosher,1,12.06
Utz Barbecue Potato Chip,1,12.06
Utz Regular Chip,1,12.06
Chip Baked Jax  Utz 1.5 oz,1,12.06
Baked Goods,7,12.06
Chewy Marshmallow GF 2.1 oz,4,12.06
GF Sweet Street Choloate Brownie,3,12.06
Ice Cream,3,12.06
MochiCookCrm1.5o,2,12.06
Ice Cream Mochi Sweet Mango 1.5,1,12.06
Grocery,1,12.06
Fresh Cut Pineapple Fruit Cup,1,12.06
Candy Confection,1,12.06
Orbit Wintermint Gum,1,12.06
Int Commissary,53,12.06
Straight Bakery,51,12.06
Muffin Jumbo,16,12.06
Cookie,19,12.06
Croissant Choc,4,12.06
Croissant Blue CC,3,12.06
Croissant Straw CC,3,12.06
Plain Croissant,2,12.06
Coffee Cake,2,12.06
Combo 16 oz Coffee & Muffin,1,12.06
Cinnamon Bun,1,12.06
Take Us Home,2,12.06
BowlMexicanChick,2,12.06
Ext Commissary,7,12.06
Sushi,4,12.06
Tempura Crunch Roll,1,12.06
Golden Dragon Roll,1,12.06
Avocado Roll,1,12.06
California Roll,1,12.06
York Street Comm,3,12.06
Salad Chicken Caesar,1,12.06
Sandwich Corned Beef & Swiss,1,12.06
Wrap Chicken Caesar,1,12.06
Total,"2,801",12.05
Unit Prepared,"2,106",12.05
Grill,809,12.05
Quesadilla Deluxe Trillium,163,12.05
Grilled Hamburger,118,12.05
Fried Chicken Tenders,116,12.05
Burrito Una Mano Trillium BYO,82,12.05
French Fries,179,12.05
Grilled Chicken Breast Sandwich,22,12.05
Trillium Grill Impossible Burger,16,12.05
Quesadilla Cheese,20,12.05
Sweet Potato Fries,42,12.05
Seared Salmon Burger,11,12.05
Black Bean Burger,6,12.05
ADD Beef Patty $2.99,15,12.05
ADD Chicken Breast,4,12.05
Add Sausage 2 Patty,3,12.05
ADD Cheese,9,12.05
Add Egg $.99,3,12.05
Asian,467,12.05
1 Entree + 1 Side,212,12.05
1 Entree + 2 Side,85,12.05
Bowl Ramen Chicken,70,12.05
2 Entrees + 2 Sides,41,12.05
Bowl Ramen Tofu,22,12.05
Side Vegetarian Lo Mein,14,12.05
1 Wok Entree,8,12.05
Side White or Brown Rice,10,12.05
Side Fried Spring Roll,2,12.05
Side Vegetables,2,12.05
Side Vegetable Spring Rolls,1,12.05
Italian,229,12.05
Create Your Pasta Bowl MEAT,113,12.05
Create Your Pasta Bowl VEG,32,12.05
Pizza with Toppings,37,12.05
Pizza Cheese,23,12.05
Add Extra Meat,23,12.05
Side Bread Pasta Station,1,12.05
Breakfast,215,12.05
Burrito Breakfast,69,12.05
Small French Omelet,36,12.05
Grand Slam Breakfast,18,12.05
Egg Cheese Sausage Breakfast San,24,12.05
Egg Cheese Bacon Breakfast Sandw,20,12.05
Add Bacon,28,12.05
Two Eggs,15,12.05
Trillium Home Fries,2,12.05
2 Slices Toast,2,12.05
Toast,1,12.05
Mexican,101,12.05
Burrito Bowl BYO,93,12.05
Single Taco,4,12.05
Side Guacamole,2,12.05
Add Extra Toppings Una Mano,2,12.05
Soup,102,12.05
8 oz Soup,66,12.05
Soup 12 oz,36,12.05
Salad Bar,47,12.05
Salad by the Pound,47,12.05
Beverages,114,12.05
Soda Fountain 24 oz,37,12.05
Coffee 16 oz SB,26,12.05
Soda Fountain 16 oz,27,12.05
Coffee 12 oz SB,17,12.05
Hot Tea 20 oz,7,12.05
Grab N Go,11,12.05
Side Potato Tots,11,12.05
Open Misc,9,12.05
Open Miscellaneous,9,12.05
Salads,2,12.05
Add Extra Protein $2.99,2,12.05
Convenience,595,12.05
Beverages,377,12.05
Water Aquafina 20 oz,15,12.05
Juice Naked Mighty Mango,7,12.05
Soda Pepsi Diet 20 Oz,12,12.05
Energy Mango PassFruit Celsius 1,8,12.05
Kombucha Pineapple Peach Kevita,6,12.05
Gatorade Galcier Freeze Zero G 2,8,12.05
Juice Orange Homestyle Tropicana,8,12.05
Juice Orange Premium Topicana 11,8,12.05
Juice Naked Blue Machine,5,12.05
Yerba Mate Peach Revival 15.5 oz,5,12.05
Yerba Mate Revel Berry 15.5 oz,5,12.05
Tea Green Matcha Milk Ito En 11.,5,12.05
Tea Jasmine Green Unsweet Ito En,5,12.05
Tea Iced Rasberry Lipton 16 oz,8,12.05
Cold Brew Vanilla Sweet Cream St,5,12.05
Energy Artic Vibe Celsius 12oz,5,12.05
Soda Pepsi  Zero 20oz,7,12.05
Tea Peach Pure Leaf Lipton 18.5,7,12.05
Yerba Mate Enlighten Mint 15.5 o,4,12.05
Yerba Mate Tropical 15.5 oz,4,12.05
Tea Golden Oolong Unsweet Ito En,4,12.05
Water Aquafina 1L,6,12.05
Energy Blue Crush Celsius 16 oz,4,12.05
Soda Pepsi 20 Oz,6,12.05
Tea Sweet W/ Le Pure Leaf Lipton,6,12.05
Gatorade Blue 28 oz,5,12.05
Starbucks Doubleshot Energy Van,3,12.05
Gatorade Propel Berry Water 1 lt,5,12.05
Energy Fuji Apple Pear Celsius 1,4,12.05
Energy StrawLemon Celsius 12oz,4,12.05
Tea Green Peach Mango Celsius 12,4,12.05
Frappuccino Mocha 13.7 Oz SB,3,12.05
Frappuccino Vanilla SB 13.7 Oz,3,12.05
Kombucha Rasp Lemon Kevita 15.2,3,12.05
Tea Blackberry Pure Leaf 18.5 oz,5,12.05
Gatorade Gatorlyte Cherry Lime 2,3,12.05
Gatorade Gatorlyte Zero Fruit Pu,3,12.05
Gatorade Lemon Lime 28 oz,4,12.05
Glacier Freeze Gatorade 28 oz,4,12.05
Juice AppleTropicana 11 oz,4,12.05
Juice Lively Lemonade Tropicana,4,12.05
Juice Raspberry Lemonade Tropica,4,12.05
Energy Passion Orange Guva Odyss,3,12.05
Sparkling lemonade Strawberry Ke,4,12.05
Muscle Milk KO Chocolate 14oz,2,12.05
Muscle Milk P40 Strawberry Cream,2,12.05
Water Life WTR Immune 700 ML,3,12.05
Water Gatorade 33.8 oz,3,12.05
Lipton Pure Leaf Sweet Tea,4,12.05
Soda Orange Crush 20 Oz,4,12.05
Soda Rootbeer Mug 20 oz,4,12.05
Tea Light Peach Lipton 20 oz,4,12.05
Tea Pure Leaf Zero Sugar Sweet T,4,12.05
Tea Unsweetened Pure Leaf Lipton,4,12.05
Frappuccino Caramel SB 13.7 oz,2,12.05
Juice Naked Green Machine,2,12.05
Juice Protein Zone Naked,2,12.05
Naked Strawberry Banana Juice,2,12.05
Juice Ocean Spray Cranbe Grape 1,4,12.05
Gatorade Propel Grape Water 1 lt,3,12.05
Gatorade Gatorlyte Zero Lemon Li,2,12.05
Yerba Mate Lemon 15.5 oz,2,12.05
Starbucks Double Shot 6.5 Oz,2,12.05
Energy Fruit Burst Celsius 16 oz,2,12.05
Energy Mango Tango Celsius 16 oz,2,12.05
Juice Fuji Apple Red Jacket 12oz,2,12.05
Soda Ginger Ale Schweppes 20 Oz,3,12.05
Soda Mountain Dew Zero 20 Oz,3,12.05
Soda Rootbeer Zero Sugar Mug 20,3,12.05
Energy Blue Raz Lemonade Celsius,2,12.05
Energy Fast Twitch Cool Blue 12,2,12.05
Energy Kiwi Guava Celsius 12 oz,2,12.05
Tea Green Rasp Acai  Celsius 12,2,12.05
Soda Mandarin Jarritos 12.5 oz,3,12.05
Mountain Dew Kickstart Orange 16,2,12.05
Cider Apple Red Jacket 12 oz,2,12.05
Water Aquafina Alumitek 16 oz,3,12.05
Gatorade Zero Grape 28 oz,2,12.05
Juice Grape Tropicana 11oz,2,12.05
Gatorade Propel  Kiwi Straw Wate,2,12.05
Water Gatorade 700ml,2,12.05
Muscle Milk PP Chocolate 14 oz,1,12.05
Soda Mountain Dew 20 Oz,2,12.05
Soda Pepsi Wild Cherry 20 Oz,2,12.05
Soda Starry Lemon Lime 20 oz,2,12.05
Tea Sweetened With Lemon Brisk 2,2,12.05
Tea Tea & Lemon Pure Leaf Lipton,2,12.05
Tea Unsweet Black W Lemon 18.5 o,2,12.05
Tea Unsweet Green Lipton 18.5 oz,2,12.05
Starbucks Doubleshot Ener Coffee,1,12.05
Juice Apple Dole 15.2 oz,2,12.05
Juice Lemonade Dole 20oz,2,12.05
Juice Orange Dole 15.2 oz,2,12.05
Frappuccino Oatmilk Caramel Whit,1,12.05
Juice Naked Berry Blast,1,12.05
Juice Naked PNCLDA 15.2 Oz,1,12.05
Kombucha Ginger Kevita 15.2 oz,1,12.05
Gatorade Gatorlyte Glacier Freez,1,12.05
Gatorade Gatorlyte Orange 20 oz,1,12.05
Gatorade Gatorlyte Strawberry Ki,1,12.05
Yerba Mate Bluephoria 15.5 oz,1,12.05
Tea Black Milk Ito En 11.8 oz,1,12.05
Cold Brew Chocolate Cream Starbu,1,12.05
Energy 222 Blue Raspberry Odysse,1,12.05
Energy Dragonberry Celsius 16 oz,1,12.05
Energy Orangesicle Celsius 16 oz,1,12.05
Energy Revive Prickly Pear Odyss,1,12.05
Juice Joes Lemonade  Red Jacket1,1,12.05
Rockstar Pure Zero Silver Ice,1,12.05
Mountain Dew Kickstart Black Che,1,12.05
Gatorade Berry Zero G 28 oz,1,12.05
Gatorade Orange 28oz,1,12.05
Juice Zero Summer Splash Punch 1,1,12.05
Kickstart Strawberry Start-up 16,1,12.05
Soda Mango Jarritos 12.5 oz,1,12.05
Soda Pineapple Jarritos 12.5 oz,1,12.05
Ocean Spray Cranberry Cocktail,1,12.05
Dairy,62,12.05
Cornell Low Fat Chocolate Milk,7,12.05
Yogurt 0% Fat Vanilla Greek Oiko,8,12.05
Yogurt Mixed Berry Chobani Drink,4,12.05
Yogurt Straw Banana Chobani Drin,4,12.05
Milk Chocolate LF Cornell 8 Oz,7,12.05
Cornell 2% Milk,6,12.05
Cornell Whole Milk,5,12.05
Yogurt Blueberry Greek Chobani,4,12.05
Yogurt Flip Almond Coco Loco Cho,3,12.05
Yogurt Mango Greek Chobani,3,12.05
Yogurt Raspberry Greek Chobani,3,12.05
Yogurt Flip Peanut Butter Dream,2,12.05
Yogurt Black Cherry Greek Choban,2,12.05
Yogurt Plain Greek Chobani,2,12.05
Yogurt Mango Chobani Drink 7 oz,1,12.05
Yogurt Strawberry Banana Greek C,1,12.05
NutritionalSnack,49,12.05
Jelly Konjac Mango Pineapple Tas,9,12.05
Jelly Konjac Peach Tastelli,8,12.05
Fruit And Nut Delight Kind Bar,4,12.05
Bar S'Mores Quest 2.12 oz,2,12.05
Bar That's It Apple+Strawberry 1,3,12.05
Bar CHOC Mint Builders Clif bar2,2,12.05
Bar Peanut Butter Builders Clif,2,12.05
Oat And Honey Granola Bar,4,12.05
Jelly Konjac Double Berry Tastel,2,12.05
Bar Chocolate Chip Clifbar,2,12.05
Kind Cranberry Almond Plus Bar,2,12.05
Bar Choc Chip Cookie Dough Quest,1,12.05
Bar Cookie & Cream Quest 2.12 oz,1,12.05
Bar Frosted Birthday Cake Quest,1,12.05
Cookie Peanut Butter Lenny & Lar,1,12.05
Jelly Konjac Apple Grape Tastell,1,12.05
Bar Crunchy Peanut Butter Clif,1,12.05
Bar White Chocolate Macadamia Cl,1,12.05
Bar That's It Apple+Mango 1.2 oz,1,12.05
Oats And Dark Chocolate Granola,1,12.05
Food,69,12.05
Fruit Whole,69,12.05
Salty Snacks,16,12.05
Utz Regular Chip,4,12.05
Chips Dirty Sea Salted,2,12.05
Jalapeno Heat Chips Kosher,2,12.05
Nuts Almonds Honey 1.5 oz Sahale,1,12.05
Chip Potato Kettle Honey BBQ 2oz,1,12.05
Chip Potato Dirty BBQ Mesquite 2,1,12.05
Chips Cracked Pepper & Sea Salt,1,12.05
Chip Sour Cream And Onion Dirty,1,12.05
Utz Barbecue Potato Chip,1,12.05
Utz GoodHealth Veggie Chip,1,12.05
Utz Salt N Vinegar Chip,1,12.05
Baked Goods,10,12.05
Chewy Marshmallow GF 2.1 oz,6,12.05
GF Sweet Street Choloate Brownie,4,12.05
Candy Confection,10,12.05
Orbit Wintermint Gum,9,12.05
Candy CHOC Cara Caff Bar Awake,1,12.05
Grocery,1,12.05
Fresh Cut Pineapple Fruit Cup,1,12.05
Ice Cream,1,12.05
Ice Cream Mochi Double Chocolate,1,12.05
Ext Commissary,23,12.05
Sushi,14,12.05
California Roll,3,12.05
TSA Roll,2,12.05
Spicy Tuna Roll,2,12.05
Hawaiian Volcano Roll,1,12.05
Alaskan Roll,1,12.05
Tempura Crunch Roll,1,12.05
Tempura Shrimp Roll,1,12.05
Golden Dragon Roll,1,12.05
Salmon Roll,1,12.05
Avocado Roll,1,12.05
York Street Comm,9,12.05
Wrap Chicken Caesar,6,12.05
Sandwich Black Forrest Ham & Swi,1,12.05
Sandwich Corned Beef & Swiss,1,12.05
Wrap Buffalo Chicken,1,12.05
Int Commissary,77,12.05
Straight Bakery,67,12.05
Muffin Jumbo,26,12.05
Cookie,19,12.05
Cinnamon Bun,5,12.05
Croissant Straw CC,4,12.05
Croissant Choc,3,12.05
Plain Croissant,3,12.05
Croissant Blue CC,2,12.05
Combo 16 oz Coffee & Muffin,2,12.05
Coffee Cake,2,12.05
Brownie,1,12.05
Take Us Home,6,12.05
BowlSesAsianNood,3,12.05
BowlChickAlfrPen,1,12.05
BowlMedProtein,1,12.05
BowlSouthChick,1,12.05
GF Commissary,4,12.05
GF ChicCaesarSld,1,12.05
GFSunButterJelly,2,12.05
GF Turkey Sand,1,12.05
Total,"2,776",12.04
Unit Prepared,"2,084",12.04
Grill,657,12.04
Quesadilla Deluxe Trillium,168,12.04
Grilled Hamburger,117,12.04
Fried Chicken Tenders,83,12.04
Burrito Una Mano Trillium BYO,60,12.04
French Fries,126,12.04
Grilled Chicken Breast Sandwich,16,12.04
Quesadilla Cheese,17,12.04
Sweet Potato Fries,28,12.04
Trillium Grill Impossible Burger,7,12.04
Seared Salmon Burger,5,12.04
ADD Chicken Breast,10,12.04
ADD Beef Patty $2.99,7,12.04
Add Sausage 2 Patty,4,12.04
Black Bean Burger,1,12.04
ADD Cheese,5,12.04
Add Egg $.99,3,12.04
Asian,453,12.04
1 Entree + 1 Side,202,12.04
1 Entree + 2 Side,85,12.04
Bowl Ramen Chicken,84,12.04
2 Entrees + 2 Sides,35,12.04
Bowl Ramen Tofu,13,12.04
Side Vegetarian Lo Mein,16,12.04
1 Wok Entree,5,12.04
Side White or Brown Rice,9,12.04
Side Vegetables,2,12.04
Side Fried Spring Roll,1,12.04
Side Vegetarian Fried Rice with,1,12.04
Italian,251,12.04
Create Your Pasta Bowl MEAT,142,12.04
Create Your Pasta Bowl VEG,27,12.04
Pizza with Toppings,22,12.04
Pizza Cheese,22,12.04
Add Extra Meat,36,12.04
Side Bread Pasta Station,2,12.04
Breakfast,290,12.04
Burrito Breakfast,91,12.04
Small French Omelet,58,12.04
Grand Slam Breakfast,19,12.04
Egg Cheese Sausage Breakfast San,30,12.04
Egg Cheese Bacon Breakfast Sandw,28,12.04
Add Bacon,34,12.04
Two Eggs,18,12.04
Trillium Home Fries,5,12.04
Pancake Single,2,12.04
2 Slices Toast,4,12.04
Toast,1,12.04
Mexican,98,12.04
Burrito Bowl BYO,84,12.04
Single Taco,10,12.04
Side Guacamole,2,12.04
Add Extra Toppings Una Mano,2,12.04
Soup,117,12.04
Soup 12 oz,58,12.04
8 oz Soup,59,12.04
Salad Bar,61,12.04
Salad by the Pound,61,12.04
Beverages,139,12.04
Soda Fountain 16 oz,48,12.04
Coffee 16 oz SB,32,12.04
Soda Fountain 24 oz,36,12.04
Coffee 12 oz SB,17,12.04
Hot Tea 20 oz,6,12.04
Grab N Go,11,12.04
Side Potato Tots,11,12.04
Open Misc,5,12.04
Open Miscellaneous,5,12.04
Salads,2,12.04
Add Extra Protein $2.99,2,12.04
Convenience,554,12.04
Beverages,380,12.04
Soda Pepsi Diet 20 Oz,18,12.04
Water Aquafina 20 oz,19,12.04
Energy Kiwi Guava Celsius 12 oz,8,12.04
Juice Naked Mighty Mango,6,12.04
Water Life WTR Immune 700 ML,8,12.04
Yerba Mate Enlighten Mint 15.5 o,6,12.04
Yerba Mate Revel Berry 15.5 oz,6,12.04
Yerba Mate Tropical 15.5 oz,6,12.04
Energy Mango PassFruit Celsius 1,6,12.04
Muscle Milk P40 Strawberry Cream,4,12.04
Water Aquafina 1L,8,12.04
Soda Pepsi 20 Oz,8,12.04
Starbucks Doubleshot Energy Van,4,12.04
Gatorade Gatorlyte Glacier Freez,4,12.04
Yerba Mate Lemon 15.5 oz,4,12.04
Tea Black Milk Ito En 11.8 oz,4,12.04
Tea Jasmine Green Unsweet Ito En,4,12.04
Muscle Milk Choc PB 14oz,3,12.04
Muscle Milk KO Chocolate 14oz,3,12.04
Muscle Milk PROSRS 40 Intense Va,3,12.04
Red Jacket Strawberry Apple Juic,4,12.04
Tea Unsweetened Pure Leaf Lipton,6,12.04
Juice AppleTropicana 11 oz,5,12.04
Gatorade Propel  Kiwi Straw Wate,5,12.04
Sparkling lemonade Strawberry Ke,5,12.04
Energy Fast Twitch Grape 12 oz,4,12.04
Juice Naked Blue Machine,3,12.04
Juice Protein Zone Naked,3,12.04
Naked Strawberry Banana Juice,3,12.04
Kombucha Ginger Kevita 15.2 oz,3,12.04
Kombucha Rasp Lemon Kevita 15.2,3,12.04
Lipton Pure Leaf Sweet Tea,5,12.04
Soda Ginger Ale Schweppes 20 Oz,5,12.04
Soda Mountain Dew Zero 20 Oz,5,12.04
Soda Orange Crush 20 Oz,5,12.04
Tea Peach Pure Leaf Lipton 18.5,5,12.04
Tea Sweet W/ Le Pure Leaf Lipton,5,12.04
Gatorade Gatorlyte Zero Fruit Pu,3,12.04
Yerba Mate Bluephoria 15.5 oz,3,12.04
Yerba Mate Peach Revival 15.5 oz,3,12.04
Gatorade Blue 28 oz,4,12.04
Gatorade Galcier Freeze Zero G 2,4,12.04
Juice Orange Homestyle Tropicana,4,12.04
Juice Orange Premium Topicana 11,4,12.04
Juice Raspberry Lemonade Tropica,4,12.04
Energy Blue Crush Celsius 16 oz,3,12.04
Energy Artic Vibe Celsius 12oz,3,12.04
Energy Blue Raz Lemonade Celsius,3,12.04
Energy Fast Twitch Cool Blue 12,3,12.04
Energy Fast Twitch Watermelon St,3,12.04
Energy Fuji Apple Pear Celsius 1,3,12.04
Water Gatorade 33.8 oz,3,12.04
Soda Mountain Dew 20 Oz,4,12.04
Soda Pepsi Wild Cherry 20 Oz,4,12.04
Soda Pepsi  Zero 20oz,4,12.04
Soda Rootbeer Mug 20 oz,4,12.04
Tea Iced Rasberry Lipton 16 oz,4,12.04
Tea Tea & Lemon Pure Leaf Lipton,4,12.04
Starbucks Doubleshot Energy Moch,2,12.04
Juice Apple Dole 15.2 oz,4,12.04
Frappuccino Caramel SB 13.7 oz,2,12.04
Frappuccino Mocha 13.7 Oz SB,2,12.04
Frappuccino Vanilla SB 13.7 Oz,2,12.04
Juice Naked Green Machine,2,12.04
Juice Naked PNCLDA 15.2 Oz,2,12.04
Kombucha Pineapple Peach Kevita,2,12.04
Juice Lively Lemonade Tropicana,3,12.04
Gatorade Propel Berry Water 1 lt,3,12.04
Gatorade Propel Grape Water 1 lt,3,12.04
